step,disc_loss,disc_grad_norm,gen_loss,gen_grad_norm,real_score_mean,real_score_std,real_score_min,real_score_max,fake_score_mean_disc,fake_score_std_disc,fake_score_min_disc,fake_score_max_disc,fake_score_mean_gen,fake_score_std_gen,fake_score_min_gen,fake_score_max_gen
1,0.23267413249555918,0.14342726750402657,0.2606907126281209,0.048977801508464695,0.5288270779643578,3.562482741895939e-05,0.5287935134914922,0.5288831042962868,0.4911211678922107,0.041629879422516905,0.4191796922804147,0.5180523170753966,0.4911211678922107,0.041629879422516905,0.4191796922804147,0.5180523170753966
2,0.24105872225142708,0.13901297134189033,0.24073884447515811,0.045125049377622975,0.5291505976435921,3.563914473826402e-05,0.529117038591352,0.5292066696553726,0.5096465512508623,0.017097946513687186,0.48417052340923816,0.5292087250418356,0.5096465512508623,0.017097946513687186,0.48417052340923816,0.5292087250418356
3,0.23156605179756987,0.13853856127472924,0.26015358372275793,0.08047270300118566,0.5294552796881205,3.564431879149296e-05,0.5294217276420583,0.5295113821406109,0.49059126281348975,0.025618786091515508,0.44910359217215695,0.5144774837786605,0.49059126281348975,0.025618786091515508,0.44910359217215695,0.5144774837786605
4,0.24203483300947565,0.13285958679553264,0.23849741562282042,0.028474507010810342,0.5297764074511836,3.566400245258312e-05,0.529742860346704,0.5298325650083373,0.5120545288742585,0.020165138995270202,0.485281299882498,0.5417216366118922,0.5120545288742585,0.020165138995270202,0.485281299882498,0.5417216366118922
5,0.24228087278310795,0.1552700446172835,0.23717438563680732,0.0658256485664615,0.5300943905225746,3.566833088388756e-05,0.5300608474462912,0.5301505768771781,0.5130470731071264,0.0071576970647646,0.5058071375451356,0.5246004366826249,0.5130470731071264,0.0071576970647646,0.5058071375451356,0.5246004366826249
6,0.24070335289150452,0.1313426082553263,0.2399800962717375,0.025051896862527245,0.5304088593488122,3.5683576478691725e-05,0.5303753228615238,0.5304650928472014,0.5102829190608139,0.012541009055898712,0.493880449624047,0.5240097585710218,0.5102829190608139,0.012541009055898712,0.493880449624047,0.5240097585710218
7,0.2360252903482587,0.12018592350146232,0.24986460666087593,0.030362405743328415,0.5306939581263868,3.5702599538220866e-05,0.5306604232770342,0.5307502442449334,0.500824484379597,0.026237592610236754,0.4555406988931177,0.518685885678317,0.500824484379597,0.026237592610236754,0.4555406988931177,0.518685885678317
8,0.236121809087903,0.13394015974353124,0.24845384506788815,0.05103982276413946,0.5310003017785347,3.5712226199932516e-05,0.5309667738579141,0.5310566258366504,0.501735204588177,0.013639601207597522,0.47984320226830596,0.517293079005824,0.501735204588177,0.013639601207597522,0.47984320226830596,0.517293079005824
9,0.2443102883537689,0.14814027119682444,0.23288705602584758,0.045212822074691135,0.5313240983097611,3.5715154280159414e-05,0.5312905852685794,0.5313804480636347,0.5178188290766287,0.019707217784713793,0.4859870767232064,0.5399630033160061,0.5178188290766287,0.019707217784713793,0.4859870767232064,0.5399630033160061
10,0.22603934260906336,0.1436047280780142,0.2760338426749092,0.06689526300704307,0.5316337948373263,3.572281684700482e-05,0.5316002846188319,0.5316901770726297,0.4781328285751949,0.06073300638024,0.37314974977301835,0.5192621803615468,0.4781328285751949,0.06073300638024,0.37314974977301835,0.5192621803615468
11,0.2383653439701816,0.13530697382177911,0.24328409836659776,0.021035528060700283,0.5319522511946126,3.5736997468167956e-05,0.531918752819707,0.5320086796874933,0.5070059283728251,0.015522361516781168,0.48175719334140554,0.5236098238187136,0.5070059283728251,0.015522361516781168,0.48175719334140554,0.5236098238187136
12,0.22451675952925743,0.1406359632243232,0.2795818329843581,0.12116146425149855,0.5322515448658998,3.5741993627846806e-05,0.5322180492275026,0.5323080012696275,0.4751338411482526,0.0640105325440301,0.36427418280209245,0.5133080451200038,0.4751338411482526,0.0640105325440301,0.36427418280209245,0.5133080451200038
13,0.23763140901471233,0.13627484174090687,0.24385743353361822,0.030183191564038724,0.5325643064819262,3.575043624105771e-05,0.5325308212514761,0.5326207992241299,0.5062690014820329,0.009334593513883509,0.49150076962125955,0.5160543953431808,0.5062690014820329,0.009334593513883509,0.49150076962125955,0.5160543953431808
14,0.2457182411797761,0.15133745931163717,0.22879098364069314,0.028511159857067873,0.5328946439737005,3.575823485258715e-05,0.5328611657032781,0.5329511702153445,0.5220001249309423,0.017524356611823753,0.5076532709259565,0.5517522972293042,0.5220001249309423,0.017524356611823753,0.5076532709259565,0.5517522972293042
15,0.2415354635730283,0.12568818488754988,0.23591641718460882,0.04948193111118631,0.5331836864478406,3.5770119566016726e-05,0.5331502270637283,0.5332402591018843,0.5144605913918923,0.012957618342032691,0.49872467720507946,0.5339887884936517,0.5144605913918923,0.012957618342032691,0.49872467720507946,0.5339887884936517
16,0.2412304670059007,0.12761911166848658,0.23601025728113328,0.02313246124786951,0.5334861972870657,3.579128176156311e-05,0.533452751826377,0.5335428273477676,0.5142449328527278,0.007229939272383284,0.5043819463805825,0.5247355924817049,0.5142449328527278,0.007229939272383284,0.5043819463805825,0.5247355924817049
17,0.2415243881729532,0.13581993052374633,0.23536997815714827,0.023658375574830758,0.5338023156151878,3.580110388164226e-05,0.5337688804909658,0.5338589838854401,0.5149848498532332,0.011414126565691058,0.5014048667140526,0.5291005659726525,0.5149848498532332,0.011414126565691058,0.5014048667140526,0.5291005659726525
18,0.2446499889581761,0.13272592812930786,0.22928637175941805,0.033180332431893875,0.534115028258426,3.581233829681131e-05,0.5340816068267276,0.5341717362142611,0.5213062845198595,0.011777033549939505,0.5087215733521481,0.5378372987134475,0.5213062845198595,0.011777033549939505,0.5087215733521481,0.5378372987134475
19,0.2384992169353643,0.14165458091248784,0.24037893476969757,0.04897438095405382,0.5344308434083107,3.58190921961632e-05,0.5343974272115094,0.5344875840276212,0.5097318766573264,0.004012730211537729,0.5031026514677535,0.5129818097607944,0.5097318766573264,0.004012730211537729,0.5031026514677535,0.5129818097607944
20,0.24337641944834792,0.16550992562050076,0.235724109703692,0.07055545620279702,0.5347283282643105,3.5809622628905115e-05,0.5346949183595989,0.5347850745977657,0.5170017355001517,0.04936381461988683,0.48549828305752285,0.6022651788764534,0.5170017355001517,0.04936381461988683,0.48549828305752285,0.6022651788764534
21,0.2194099719531461,0.13738403925261317,0.2864408559981145,0.0675152133343012,0.5350530209038152,3.584275093244269e-05,0.5350196055495475,0.5351098407438435,0.4679129532582659,0.05765614180444325,0.37271953241631495,0.5274332418680094,0.4679129532582659,0.05765614180444325,0.37271953241631495,0.5274332418680094
22,0.23736768547863873,0.13621092485649186,0.2418061730792258,0.021940542480539428,0.5353684842881484,3.5854901581308585e-05,0.5353350752435914,0.5354253454802038,0.5083379155208511,0.008635262870580437,0.4961708434001035,0.518596081396463,0.5083379155208511,0.008635262870580437,0.4961708434001035,0.518596081396463
23,0.24080260092387284,0.14795213400163726,0.23501093317631233,0.05708248299670429,0.5357109864510334,3.586757253144913e-05,0.5356775858937781,0.5357678902893313,0.5152961934005417,0.0085529552966911,0.5009427742745072,0.5232591809931612,0.5152961934005417,0.0085529552966911,0.5009427742745072,0.5232591809931612
