step,loss,score_mean,score_std,score_min,score_max,grad_norm,edge_norm_min,edge_norm_max,w_l0_q0_RX,w_l0_q0_RY,w_l0_q0_RZ,w_l0_q1_RX,w_l0_q1_RY,w_l0_q1_RZ,w_l0_q2_RX,w_l0_q2_RY,w_l0_q2_RZ,w_l0_q3_RX,w_l0_q3_RY,w_l0_q3_RZ,w_l0_q4_RX,w_l0_q4_RY,w_l0_q4_RZ,w_l0_q5_RX,w_l0_q5_RY,w_l0_q5_RZ,w_l1_q0_RX,w_l1_q0_RY,w_l1_q0_RZ,w_l1_q1_RX,w_l1_q1_RY,w_l1_q1_RZ,w_l1_q2_RX,w_l1_q2_RY,w_l1_q2_RZ,w_l1_q3_RX,w_l1_q3_RY,w_l1_q3_RZ,w_l1_q4_RX,w_l1_q4_RY,w_l1_q4_RZ,w_l1_q5_RX,w_l1_q5_RY,w_l1_q5_RZ
1,0.2474530661596553,0.5031348458082137,0.024043397369770705,0.4642672781700352,0.5620917975942049,0.033753175474590454,0.05046606,1.0,0.1523368049392836,-0.5200316824974461,0.3753140567414188,0.470158971786188,-0.9759626205284879,-0.6515237448841087,0.06388263413076026,-0.15843465622142777,-0.008418582672644585,-0.4263257472662852,0.4388760117545114,0.3885706535317747,0.03275718154610402,0.5634278622754914,0.2348963916838087,-0.43021657637348276,0.1842386594820184,-0.4789500484212952,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3405042603922135,0.6100322971548083,-0.07726474103440108,-0.21330481844213345,-0.17641511775330201,0.26615459277667436,0.18384032911100304,0.20818378770612525,0.21541050150394137,1.0706741950400596,-0.20407303291453907,-0.25612136453576867,-0.40629716324016335,0.30799858607996516,0.5644861463604458
2,0.22217615576586852,0.5320257661537935,0.05635842833242128,0.4828378795619213,0.69736708293411,0.04870409068496643,0.02644622,1.0,0.15197448231082178,-0.5182561398832166,0.3750868309443983,0.47010663072834835,-0.9760987640899084,-0.6513134895214244,0.0638858004355852,-0.15874552152608365,-0.008420899577254577,-0.4254373274712777,0.43888409970584724,0.3882118906806019,0.03267134127607346,0.5629438688082301,0.23517482953902244,-0.43076834101014194,0.18280982208278526,-0.4791239830208867,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3401034938021986,0.6083205290907682,-0.07726474103440108,-0.2112414425665073,-0.17642173220651627,0.26615459277667436,0.18442148700393995,0.2096457447077157,0.21541050150394137,1.0683910627468174,-0.20380826640918334,-0.25612136453576867,-0.4053708053605303,0.3071951684353037,0.5644861463604458
3,0.22799132820159085,0.5245644532531251,0.04418562344340464,0.44406963193162496,0.6070225259610443,0.05797785893649809,0.07858806,1.0,0.15169039155123956,-0.5173589138261481,0.37483339949096456,0.4701556698405892,-0.9764878394399678,-0.6514199387480502,0.06394327188174039,-0.1601024490619201,-0.00836247147142828,-0.4257865206829429,0.44160329433960877,0.3881289221513538,0.03190620774698229,0.5620306765556246,0.23727816589920842,-0.43099185075905333,0.18145957285408862,-0.4789704389002114,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.33973056755919334,0.6058238237609366,-0.07726474103440108,-0.2120024536631565,-0.17742646876355297,0.26615459277667436,0.18414640464664925,0.21221174507230647,0.21541050150394137,1.0676954328724337,-0.20331204156828578,-0.25612136453576867,-0.40550708595250573,0.30705958348407114,0.5644861463604458
4,0.2347028122285389,0.5174045705868717,0.04247898271851706,0.45401495007850146,0.626343886103008,0.026374581666379987,0.030137379999999995,0.9915962800000001,0.15137185555929705,-0.5162765319224387,0.3745665161197909,0.47009387538532443,-0.9771882849866445,-0.6515165497499328,0.06392372648783026,-0.1593481293378317,-0.008299383494159998,-0.42542590029335686,0.441650577105828,0.3879990426609193,0.031928058477255924,0.5622335150241526,0.23771122029779296,-0.43158542840082487,0.18097425169857662,-0.47875252905758175,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.34000207090222856,0.6051894772614353,-0.07726474103440108,-0.2113628576377325,-0.17747258091020118,0.26615459277667436,0.18526911046125719,0.21283864092944446,0.21541050150394137,1.0675042928953735,-0.20322232835772402,-0.25612136453576867,-0.4064184451586713,0.30673524093207327,0.5644861463604458
5,0.2330965391556713,0.5194816593690188,0.04688991049272987,0.4731446900510493,0.6659844199558194,0.03537806434432352,0.030137379999999995,0.95582274,0.15096002341507359,-0.5140552155467245,0.37428858684726213,0.4699365000447509,-0.9777432432960184,-0.651592074970695,0.06383600733138811,-0.16020194502644852,-0.008440967793128014,-0.42508919123365,0.44168066853472737,0.38807437495867464,0.03196193034332022,0.5627353716292828,0.2383019330857409,-0.4320020623314726,0.17997974534594793,-0.47817121612647273,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3404867927418111,0.6051011322231972,-0.07726474103440108,-0.210821468636402,-0.1773487660288507,0.26615459277667436,0.18599048234485688,0.21434691806986156,0.21541050150394137,1.06710200977659,-0.20367024791622018,-0.25612136453576867,-0.406745803268476,0.30628664831124003,0.5644861463604458
6,0.24082527419854663,0.5108559016106908,0.039538910585418696,0.4731470082414694,0.6444722554063026,0.042720581078782606,0.06788384,1.0,0.15085654418752828,-0.5145840850886393,0.3742886504249634,0.47008303386596395,-0.9790082641452437,-0.6521591427802479,0.06346339805480027,-0.16015105707361324,-0.008756670288961765,-0.42457325259247575,0.44261928678737716,0.38774088850151167,0.03222584672096696,0.5628769836436666,0.23824243628200087,-0.43209270155333385,0.18052700224931065,-0.4811597402709198,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3406916235429531,0.6046762235651217,-0.07726474103440108,-0.2101600581425487,-0.1770968807056955,0.26615459277667436,0.1866038481812126,0.21523847283409178,0.21541050150394137,1.0681798013563217,-0.20306156950735021,-0.25612136453576867,-0.406621521990191,0.3049664400401581,0.5644861463604458
7,0.2320893528376968,0.5199898021948646,0.0409824727519082,0.4769873736428212,0.60976512195082,0.05751627155998876,0.05278216,1.0,0.1505162053353094,-0.5164162529681474,0.37409628691805213,0.4700891546786291,-0.9816966641050526,-0.6529068590066935,0.06354878631775697,-0.16152814465165347,-0.009191653854604522,-0.4240199687730636,0.4411546032729117,0.38826508370758445,0.03219204062795577,0.5632850491785207,0.23842144185934971,-0.4327430083575542,0.17900578818846327,-0.4803569408375851,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3406907751371033,0.6025225315611386,-0.07726474103440108,-0.2087726500178916,-0.1768999275010399,0.26615459277667436,0.18766730671934545,0.21410073979001756,0.21541050150394137,1.0661454423455077,-0.20295743442267553,-0.25612136453576867,-0.40658518803050914,0.3045120920677349,0.5644861463604458
8,0.24519193337409448,0.5067509630789392,0.04355825060459129,0.43441162915279397,0.6029680467399787,0.045083507757851,0.07924811999999999,1.0,0.15028564672333686,-0.5135934203488106,0.3738502275483323,0.4698144648377404,-0.9813769310662888,-0.6527961417015951,0.06353890577052142,-0.16244629440451133,-0.008854750106957097,-0.4243283622414561,0.4424676070471244,0.3883379209589533,0.03169444045058153,0.563588818961789,0.2399164208441727,-0.43134544868342356,0.1784841061353113,-0.48048972858722666,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3408621558229316,0.6024055533775241,-0.07726474103440108,-0.2095578291047908,-0.17806055875813145,0.26615459277667436,0.18697612320763393,0.21475450312285507,0.21541050150394137,1.066296288792113,-0.20335802747373585,-0.25612136453576867,-0.4073186718724534,0.3054184083999545,0.5644861463604458
9,0.24105027167495546,0.5117405145871112,0.05150676480178987,0.3562993098768429,0.6152935267528459,0.04500172727897456,0.03809778,1.0,0.15030550798693906,-0.5136160083955329,0.37377538816757555,0.46997479773671097,-0.9817109715333506,-0.652810140284783,0.0632394758520844,-0.16175458523136668,-0.008753576576899609,-0.42353077514081494,0.43986039965527407,0.3881049653556422,0.03145449874231615,0.5634326053470071,0.24060024079421963,-0.4312467872866928,0.17878133572754348,-0.4804214890879189,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.34116655056728795,0.6029136828570678,-0.07726474103440108,-0.20782347747453933,-0.1771628783154601,0.26615459277667436,0.18941553211079923,0.21416635364354158,0.21541050150394137,1.0664264275834696,-0.20361681823752287,-0.25612136453576867,-0.40699554942288696,0.3062782531316634,0.5644861463604458
10,0.2175771715803914,0.5387507610050233,0.06947165842646519,0.4696956054339465,0.6703045091313924,0.04957984036307354,0.022573939999999997,1.0,0.14964365137534547,-0.5122869236024831,0.3735302526724146,0.4701618257495089,-0.9836075805109022,-0.653386439062687,0.06332331104386495,-0.16312052459167334,-0.009032333843358126,-0.42307304071513385,0.4414168109786493,0.38819197949983775,0.031100440509560807,0.5635479124600284,0.24114375705642715,-0.431813939927266,0.17926097515986653,-0.4823166702951433,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3412664780755147,0.6007598437151074,-0.07726474103440108,-0.20738454551252672,-0.17802578694229323,0.26615459277667436,0.18938672620635086,0.21512687907730077,0.21541050150394137,1.0653206594375375,-0.20357114074870894,-0.25612136453576867,-0.40609873136292174,0.30547424285375613,0.5644861463604458
